product,interface_name,dataset_name,start_date,end_date,expected_end,raw_files_count,raw_rows,indexed_files,indexed_rows,db_rows,status
rb,get_dominant_rank1,main_contract_map,2009-03-27,2026-06-24,2026-06-24,0,0,0,0,4188,ok
rb,get_dominant_rank2,main_contract_map,2009-03-27,2026-06-24,2026-06-24,0,0,0,0,4188,ok
rb,get_ex_factor,futures_ex_factors,2009-03-27,2026-04-03,2026-06-24,0,0,0,0,56,ok
rb,get_warehouse_stocks,futures_warehouse_stocks,2009-07-03,2026-06-24,2026-06-24,0,0,0,0,4122,ok
rb,get_contracts,contract_universe,2024-01-02,2026-06-24,2026-06-24,75,183876,4,7188,7164,ok
rb,get_continuous_contracts,continuous_contracts,2024-01-02,2024-01-31,2026-06-24,1,0,1,0,0,needs_rerun
rb,get_dominant_price_1d,dominant_daily_baseline,2010-01-04,2026-06-24,2026-06-24,26,80767,2,4002,,ok
rb,get_dominant_price_samples,market_sample,2010-01-04,2026-06-24,2026-06-24,0,0,6,1660976,,ok
hc,get_dominant_rank1,main_contract_map,2014-03-21,2026-06-24,2026-06-24,0,0,0,0,2980,ok
hc,get_dominant_rank2,main_contract_map,2014-03-21,2026-06-24,2026-06-24,0,0,0,0,2980,ok
hc,get_ex_factor,futures_ex_factors,2014-03-21,2026-04-02,2026-06-24,0,0,0,0,38,ok
hc,get_warehouse_stocks,futures_warehouse_stocks,2014-06-03,2026-06-24,2026-06-24,0,0,0,0,2932,ok
hc,get_contracts,contract_universe,2024-01-02,2026-06-24,2026-06-24,75,183876,3,7164,7164,ok
hc,get_continuous_contracts,continuous_contracts,,,2026-06-24,1,0,0,0,0,missing_download
hc,get_dominant_price_1d,dominant_daily_baseline,2014-03-21,2026-06-24,2026-06-24,26,80767,1,2980,,ok
hc,get_dominant_price_samples,market_sample,2014-03-21,2026-06-24,2026-06-24,0,0,5,1356352,,ok
i,get_dominant_rank1,main_contract_map,2013-10-18,2026-06-24,2026-06-24,0,0,0,0,3084,ok
i,get_dominant_rank2,main_contract_map,2013-10-18,2026-06-24,2026-06-24,0,0,0,0,3084,ok
i,get_ex_factor,futures_ex_factors,2013-10-18,2026-04-07,2026-06-24,0,0,0,0,39,ok
i,get_warehouse_stocks,futures_warehouse_stocks,2013-10-18,2026-06-24,2026-06-24,0,0,0,0,3084,ok
i,get_contracts,contract_universe,2024-01-02,2026-06-24,2026-06-24,75,183876,3,7164,7164,ok
i,get_continuous_contracts,continuous_contracts,,,2026-06-24,1,0,0,0,0,missing_download
i,get_dominant_price_1d,dominant_daily_baseline,2013-10-18,2026-06-24,2026-06-24,26,80767,1,3084,,ok
i,get_dominant_price_samples,market_sample,2013-10-18,2026-06-24,2026-06-24,0,0,5,1397248,,ok
j,get_dominant_rank1,main_contract_map,2011-04-15,2026-06-24,2026-06-24,0,0,0,0,3690,ok
j,get_dominant_rank2,main_contract_map,2011-04-15,2026-06-24,2026-06-24,0,0,0,0,3690,ok
j,get_ex_factor,futures_ex_factors,2011-04-15,2026-04-21,2026-06-24,0,0,0,0,46,ok
j,get_warehouse_stocks,futures_warehouse_stocks,2011-04-15,2026-06-24,2026-06-24,0,0,0,0,3690,ok
j,get_contracts,contract_universe,2024-01-02,2026-06-24,2026-06-24,75,183876,3,7164,7164,ok
j,get_continuous_contracts,continuous_contracts,,,2026-06-24,1,0,0,0,0,missing_download
j,get_dominant_price_1d,dominant_daily_baseline,2011-04-15,2026-06-24,2026-06-24,26,80767,1,3690,,ok
j,get_dominant_price_samples,market_sample,2011-04-15,2026-06-24,2026-06-24,0,0,5,1628731,,ok
jm,get_dominant_rank1,main_contract_map,2013-03-22,2026-06-24,2026-06-24,0,0,0,0,3219,ok
jm,get_dominant_rank2,main_contract_map,2013-03-22,2026-06-24,2026-06-24,0,0,0,0,3219,ok
jm,get_ex_factor,futures_ex_factors,2013-03-22,2026-04-16,2026-06-24,0,0,0,0,41,ok
jm,get_warehouse_stocks,futures_warehouse_stocks,2013-03-22,2026-06-24,2026-06-24,0,0,0,0,3219,ok
jm,get_contracts,contract_universe,2024-01-02,2026-06-24,2026-06-24,75,183876,3,7164,7164,ok
